alumno,course_code,cycle,grade
ALUMNO_001,BFI01,1,13.5
ALUMNO_001,BIC01,1,12.4
ALUMNO_001,BMA01,1,13.2
ALUMNO_001,BMA03,1,14.9
ALUMNO_001,BRN01,1,14.6
ALUMNO_001,BFI05,2,11.4
ALUMNO_001,BMA02,2,15.1
ALUMNO_001,BMA09,2,13.4
ALUMNO_001,BQU01,2,11.4
ALUMNO_001,BRC01,2,16.0
ALUMNO_001,BEF01,3,13.7
ALUMNO_001,BEG01,3,13.7
ALUMNO_001,BFI03,3,12.5
ALUMNO_001,BMA05,3,10.5
ALUMNO_001,BMA10,3,10.5
ALUMNO_001,BMA15,3,10.5
ALUMNO_001,EE306,3,10.5
ALUMNO_001,BMA07,4,12.0
ALUMNO_001,BMA18,4,10.5
ALUMNO_001,EE320,4,10.5
ALUMNO_001,EE410,4,15.6
ALUMNO_001,BMA22,5,12.0
ALUMNO_001,CBS05,5,10.5
ALUMNO_001,EE428,5,11.9
ALUMNO_001,EE522,5,13.2
ALUMNO_001,TLN01,5,10.5
ALUMNO_001,TLR01,5,12.5
ALUMNO_001,CIB02,6,16.4
ALUMNO_001,EE430,6,13.8
ALUMNO_001,EE458,6,11.1
ALUMNO_001,EE604,6,11.8
ALUMNO_001,TLN02,6,11.1
ALUMNO_001,BEG06,7,15.0
ALUMNO_001,EE498,7,10.8
ALUMNO_001,EE530,7,14.7
ALUMNO_001,EE588,7,10.5
ALUMNO_001,TLN05,7,10.5
ALUMNO_001,TLR02,7,12.8
ALUMNO_001,CIB12,8,13.0
ALUMNO_001,EE508,8,13.9
ALUMNO_001,EE590,8,13.9
ALUMNO_001,EE592,8,15.1
ALUMNO_001,IP101,8,15.0
ALUMNO_001,TLR03,8,10.7
ALUMNO_001,CI106,9,16.1
ALUMNO_001,CIB45,9,12.6
ALUMNO_001,IT225,9,10.5
ALUMNO_001,IT235,9,14.5
ALUMNO_001,TLR04,9,10.5
ALUMNO_001,TLR05,9,12.7
ALUMNO_001,BMA20,10,14.3
ALUMNO_001,CI105,10,12.6
ALUMNO_001,CIB46,10,13.2
ALUMNO_001,EE524,10,15.7
ALUMNO_001,EE712,10,13.6
ALUMNO_001,IT213,10,15.0
ALUMNO_002,BFI01,1,10.8
ALUMNO_002,BIC01,1,12.1
ALUMNO_002,BMA01,1,12.6
ALUMNO_002,BMA03,1,13.9
ALUMNO_002,BRN01,1,14.1
ALUMNO_002,BFI05,2,11.5
ALUMNO_002,BMA02,2,10.5
ALUMNO_002,BMA09,2,10.5
ALUMNO_002,BQU01,2,14.1
ALUMNO_002,BRC01,2,17.4
ALUMNO_002,BEF01,3,14.4
ALUMNO_002,BEG01,3,16.3
ALUMNO_002,BFI03,3,12.7
ALUMNO_002,BMA05,3,10.5
ALUMNO_002,BMA10,3,12.1
ALUMNO_002,BMA15,3,14.5
ALUMNO_002,EE306,3,12.4
ALUMNO_002,BMA07,4,14.5
ALUMNO_002,BMA18,4,10.5
ALUMNO_002,EE320,4,14.2
